total_population,median_age,under_18_pct,over_64_pct,single_mother_pct,bachelors_pct,disability_pct,unemployment_pct,median_income,uninsured_pct,vacant_housing_pct,renter_pct,no_vehicle_pct,median_rent,depression_pct,mental_distress_pct,short_sleep_pct,low_birthweight_pct,child_poverty_pct,smoking_pct,obesity_pct,inactivity_pct,excessive_drinking_pct,food_insecurity_pct,some_college_pct,teen_birth_rate,mental_health_provider_rate,primary_care_rate,income_ratio,pm25,poor_mental_health_days,black_pct,hispanic_pct,asian_pct,native_american_pct,white_pct
58761,39.0,23.4,15.6,20.6,16.7,16.4,2.8,68315.0,7.4,8.8,24.5,4.0,1199.0,25.1,17.0,37.3,9.99582638,17.0,15.4,38.4,25.7,17.42627661,15.1,61.378732189999994,19.846153846,0.0003645885,0.0004399695,4.2737120382,9.3,5.832900762,20.99035498,3.8530376900000003,1.3092042,0.49550892999999996,71.36322959
233420,43.7,21.2,21.2,15.8,20.0,13.9,3.4,71039.0,9.3,27.4,22.1,2.3,1160.0,22.5,15.1,34.8,8.133285560000001,14.099999999999998,14.7,36.8,23.799999999999997,20.59871257,14.899999999999999,64.84787528,18.970019847,0.0012070673,0.000626844,4.3595257111,7.8,6.020777623,8.22146923,5.78208886,1.15144749,0.8488917500000001,82.26794525999999
24877,40.6,20.7,19.8,58.1,6.6,18.1,5.8,39712.0,10.7,22.8,35.0,11.7,627.0,22.1,18.5,43.0,12.45421245,34.8,21.9,43.8,34.9,14.0686442,19.0,44.07743125,35.930645498,0.0002847265,0.0004005768,5.6143391098,8.8,6.3399860323,46.48362823,6.21110433,0.58165548,0.82977425,44.76306691
22251,40.3,21.2,16.8,74.9,6.6,19.6,8.7,50669.0,8.4,20.2,24.3,7.5,765.0,24.4,18.9,40.6,10.01747234,21.4,21.8,41.4,32.2,16.501431059999998,19.1,43.533225279999996,29.232333503,0.0003658314,0.0006673488,5.3467271211,8.6,6.5659451695,20.36766051,3.6125846000000004,0.29723797,0.59447595,73.70587159
59077,40.8,23.0,18.3,31.6,9.4,17.0,6.0,57440.0,10.2,12.4,20.7,4.8,734.0,24.8,17.5,36.5,7.646305000000001,16.6,19.5,37.3,29.7,18.11242915,17.4,52.627112649999994,23.082358483,0.0002842049,0.0002032486,4.6197221786,8.8,6.4487020436,1.8255985,10.51558112,0.44302528,0.6419687000000001,85.44870938
10328,39.2,21.1,16.6,49.4,6.9,11.2,3.7,36136.0,12.2,24.0,35.3,10.4,619.0,21.1,20.1,49.8,14.1025641,39.800000000000004,24.9,49.4,39.900000000000006,12.769409060000001,16.900000000000002,36.31386861,35.938391329,0.0002020814,0.0001937984,6.8069917504,8.4,6.5114628472,69.92017783,6.17358796,0.34353845,0.78811761,22.299686769999997
18981,41.6,22.3,21.2,33.1,7.8,16.2,6.8,44429.0,11.0,27.5,29.2,5.0,720.0,22.5,18.3,41.8,12.99133911,37.4,20.4,45.5,34.300000000000004,14.351838240000001,17.1,41.57664905,34.91807682,0.0008704167,0.0002647744,5.2137173366,8.4,6.2540225973,44.67413774,1.75171363,1.4851485100000001,0.51680992,50.33184637
116162,39.2,21.2,17.9,59.2,11.5,20.2,6.9,54339.0,10.8,15.9,29.1,5.6,806.0,24.6,18.4,41.6,9.438692099999999,28.499999999999996,18.0,38.3,28.499999999999996,16.48615977,18.2,54.149051400000005,24.507465972,0.0016318958,0.0005863484,4.8695115258,8.9,6.5870060371,22.02887597,4.75826469,0.9009782799999999,0.52821891,69.69311769
34612,42.2,20.8,19.7,61.9,9.2,20.8,3.6,48805.0,10.8,20.0,27.8,7.0,842.0,22.7,18.3,41.4,13.075506449999999,26.0,20.9,45.4,33.7,15.6645978,16.900000000000002,52.51649157,28.806584362,0.0001467179,0.0004053154,5.0998743403,8.9,6.3401671944,39.12380058,4.13157663,0.8920449500000001,0.45189119000000005,54.36485812
25069,46.8,18.9,23.2,14.7,8.3,20.3,4.0,46621.0,10.2,31.9,20.3,3.2,700.0,25.0,17.4,35.4,7.63975155,20.5,17.599999999999998,40.2,26.900000000000002,17.79719779,17.9,50.10112153,26.613704071,0.0006623549,0.0004400704,4.5494250824,8.4,6.138263801,4.22348632,1.91693291,0.43247877,0.82209928,90.85171043
