total_population,median_age,under_18_pct,over_64_pct,single_mother_pct,bachelors_pct,disability_pct,unemployment_pct,median_income,uninsured_pct,vacant_housing_pct,renter_pct,no_vehicle_pct,median_rent,depression_pct,mental_distress_pct,short_sleep_pct,low_birthweight_pct,child_poverty_pct,smoking_pct,obesity_pct,inactivity_pct,excessive_drinking_pct,food_insecurity_pct,some_college_pct,teen_birth_rate,mental_health_provider_rate,primary_care_rate,income_ratio,pm25,poor_mental_health_days
58761,39.0,23.4,15.6,20.6,16.7,16.4,2.8,68315.0,7.4,8.8,24.5,4.0,1199.0,25.1,17.0,37.3,9.99582638,17.0,15.4,38.4,25.7,17.42627661,15.1,61.378732189999994,19.846153846,0.0003645885,0.0004399695,4.2737120382,9.3,5.832900762
233420,43.7,21.2,21.2,15.8,20.0,13.9,3.4,71039.0,9.3,27.4,22.1,2.3,1160.0,22.5,15.1,34.8,8.133285560000001,14.099999999999998,14.7,36.8,23.799999999999997,20.59871257,14.899999999999999,64.84787528,18.970019847,0.0012070673,0.000626844,4.3595257111,7.8,6.020777623
24877,40.6,20.7,19.8,58.1,6.6,18.1,5.8,39712.0,10.7,22.8,35.0,11.7,627.0,22.1,18.5,43.0,12.45421245,34.8,21.9,43.8,34.9,14.0686442,19.0,44.07743125,35.930645498,0.0002847265,0.0004005768,5.6143391098,8.8,6.3399860323
22251,40.3,21.2,16.8,74.9,6.6,19.6,8.7,50669.0,8.4,20.2,24.3,7.5,765.0,24.4,18.9,40.6,10.01747234,21.4,21.8,41.4,32.2,16.501431059999998,19.1,43.533225279999996,29.232333503,0.0003658314,0.0006673488,5.3467271211,8.6,6.5659451695
59077,40.8,23.0,18.3,31.6,9.4,17.0,6.0,57440.0,10.2,12.4,20.7,4.8,734.0,24.8,17.5,36.5,7.646305000000001,16.6,19.5,37.3,29.7,18.11242915,17.4,52.627112649999994,23.082358483,0.0002842049,0.0002032486,4.6197221786,8.8,6.4487020436
10328,39.2,21.1,16.6,49.4,6.9,11.2,3.7,36136.0,12.2,24.0,35.3,10.4,619.0,21.1,20.1,49.8,14.1025641,39.800000000000004,24.9,49.4,39.900000000000006,12.769409060000001,16.900000000000002,36.31386861,35.938391329,0.0002020814,0.0001937984,6.8069917504,8.4,6.5114628472
18981,41.6,22.3,21.2,33.1,7.8,16.2,6.8,44429.0,11.0,27.5,29.2,5.0,720.0,22.5,18.3,41.8,12.99133911,37.4,20.4,45.5,34.300000000000004,14.351838240000001,17.1,41.57664905,34.91807682,0.0008704167,0.0002647744,5.2137173366,8.4,6.2540225973
116162,39.2,21.2,17.9,59.2,11.5,20.2,6.9,54339.0,10.8,15.9,29.1,5.6,806.0,24.6,18.4,41.6,9.438692099999999,28.499999999999996,18.0,38.3,28.499999999999996,16.48615977,18.2,54.149051400000005,24.507465972,0.0016318958,0.0005863484,4.8695115258,8.9,6.5870060371
34612,42.2,20.8,19.7,61.9,9.2,20.8,3.6,48805.0,10.8,20.0,27.8,7.0,842.0,22.7,18.3,41.4,13.075506449999999,26.0,20.9,45.4,33.7,15.6645978,16.900000000000002,52.51649157,28.806584362,0.0001467179,0.0004053154,5.0998743403,8.9,6.3401671944
25069,46.8,18.9,23.2,14.7,8.3,20.3,4.0,46621.0,10.2,31.9,20.3,3.2,700.0,25.0,17.4,35.4,7.63975155,20.5,17.599999999999998,40.2,26.900000000000002,17.79719779,17.9,50.10112153,26.613704071,0.0006623549,0.0004400704,4.5494250824,8.4,6.138263801
45140,39.9,23.7,16.8,31.0,8.2,19.4,5.3,62471.0,11.5,13.4,25.0,3.3,814.0,24.5,18.2,33.6,9.27991886,21.5,15.5,36.3,27.700000000000003,17.072533579999998,17.5,46.12614195,37.97983912,0.0008399561,0.0002208773,4.012359927,8.9,6.012328266
12669,46.7,19.9,23.3,50.0,9.6,23.6,5.2,43299.0,8.2,26.8,18.0,5.7,616.0,23.3,17.8,41.5,10.79958463,35.8,20.8,45.800000000000004,33.5,14.91459521,18.0,47.62100082,28.350515464,0.0001632387,0.0003989468,5.5445040072,8.7,6.4015435682
23058,42.7,22.0,20.4,70.4,8.4,19.6,12.5,47549.0,9.5,30.2,27.7,10.6,723.0,22.6,18.0,42.4,13.228585909999998,28.7,20.5,44.4,32.9,15.2899742,18.9,41.39002136,26.820673453,0.0010296817,0.0003954306,5.6037895181,8.8,6.6390272976
14209,43.9,20.5,20.8,26.7,9.2,19.6,5.7,48074.0,8.1,22.1,21.7,6.4,576.0,24.4,18.0,39.3,8.84543762,25.0,21.5,39.6,32.1,16.81551957,18.0,51.806509410000004,32.180209171,0.0002126001,0.0002818887,4.8560251103,6.8,6.417060024
15144,42.2,22.8,19.6,67.0,11.0,21.4,2.6,51553.0,10.1,15.5,22.0,6.8,782.0,25.5,18.1,37.4,8.44155844,21.7,20.8,39.4,30.7,17.871318050000003,17.8,50.549450549999996,29.835390947,0.000447599,0.000264848,4.6473267495,8.3,6.2490935629
53559,39.2,23.7,17.1,36.2,13.1,18.3,4.8,62199.0,10.9,15.7,30.5,4.0,921.0,24.3,17.7,40.5,8.18993683,21.0,14.6,34.1,26.900000000000002,17.27077888,17.8,61.43234937,26.30444157,0.0010962745,0.0005168531,5.2417204662,8.9,5.7011169945
57270,42.0,20.9,20.0,33.6,11.2,17.3,3.4,56149.0,7.9,16.0,29.0,4.7,810.0,24.5,17.3,40.2,10.13513514,20.5,18.8,40.9,29.2,17.14394499,17.599999999999998,58.02328073,25.978811608,0.0005997156,0.0006611685,4.6638112921,7.5,5.9668215216
11576,46.2,20.5,23.4,60.7,7.7,20.9,4.4,39888.0,8.6,31.0,25.3,7.0,718.0,22.3,18.3,41.8,14.620535709999999,43.1,19.8,44.7,33.2,14.35248623,17.1,38.04582793,31.513537506,0.0008054412,0.0004413842,5.3343410267,8.5,6.3399105524
37542,42.9,21.9,21.7,43.0,9.8,20.8,5.5,48772.0,10.3,23.9,25.0,6.4,701.0,24.3,18.0,34.5,9.61667787,22.400000000000002,18.9,44.6,27.900000000000002,16.42874528,19.2,50.71758985,35.142469471,0.0007904722,0.000479693,5.6305395739,8.6,6.614619881
13205,42.3,22.9,19.8,49.2,11.9,16.9,6.1,48557.0,8.5,26.2,25.4,7.3,595.0,23.8,18.0,39.1,9.96309963,27.1,20.0,40.300000000000004,30.5,16.04956987,16.400000000000002,47.7896852,23.205997858,0.0006869705,0.0002293052,5.7584695098,8.5,6.3292273809
88284,41.4,22.3,18.8,26.8,12.1,18.2,4.3,58119.0,10.6,14.1,23.8,2.9,848.0,25.4,17.6,36.7,8.565679789999999,21.3,18.6,39.7,30.5,18.89960423,17.4,59.27217659,28.932050026,0.001641019,0.0004804684,4.5749921556,8.7,6.2115058788
49455,37.7,23.1,17.5,32.0,12.9,20.8,7.8,52813.0,10.0,15.0,39.9,5.2,829.0,24.8,18.5,38.9,8.88793474,22.0,18.5,44.3,29.299999999999997,16.37502767,19.0,58.69128554,34.207292093,0.0014036213,0.0002837339,4.8111002468,9.0,5.9443880491
38326,40.4,23.6,19.4,48.4,10.1,19.8,9.1,37180.0,9.5,22.3,38.6,14.6,726.0,20.3,18.4,46.0,14.09395973,46.5,19.7,50.5,34.5,12.74228768,19.1,57.383665719999996,33.449477352,0.0007742292,0.0007177224,5.5928829504,8.7,6.471008746
71680,39.6,23.9,17.3,43.1,8.3,15.4,3.9,47920.0,14.6,16.4,26.1,4.2,684.0,26.3,18.9,40.3,8.3942877,28.799999999999997,22.5,38.9,34.1,16.199706329999998,19.400000000000002,50.092603309999994,30.157557853,0.0005511995,0.0004038266,4.7927204539,7.2,6.4124099684
87694,38.9,21.7,15.8,46.4,15.8,15.2,4.2,73258.0,8.2,12.5,22.9,4.3,982.0,23.0,17.5,41.5,9.25382357,17.0,15.8,36.4,25.6,18.143360920000003,14.099999999999998,53.256385679999994,19.923672691,0.0003648788,0.0002239541,4.0420000595,9.4,5.9164665832
36755,40.5,22.7,18.6,33.6,8.5,20.3,9.2,41153.0,12.3,22.1,32.9,6.1,659.0,24.0,19.6,45.0,9.49074074,28.999999999999996,21.7,43.5,32.7,14.59341843,19.3,36.83420855,38.204893366,0.0010120904,0.0002997357,5.3975738018,8.9,6.8351666864
103348,41.9,21.4,19.4,52.2,10.8,17.4,6.0,52177.0,11.7,18.2,26.6,4.2,779.0,24.9,18.1,45.0,8.8615236,25.5,18.8,41.3,29.9,16.45143439,17.5,52.98256966,35.983384853,0.0015400858,0.0007367054,4.8791989664,7.9,5.9219199882
16297,43.7,21.1,21.2,9.0,8.3,23.5,9.6,45650.0,10.1,21.4,24.2,10.7,600.0,25.7,18.2,39.0,10.12048193,22.0,21.8,39.2,32.2,16.45710769,20.5,50.388026610000004,35.431825372,0.0001878875,0.0009908348,5.5408065546,8.3,6.5675612269
32011,39.3,24.7,17.1,46.0,10.3,17.0,3.8,47359.0,12.5,19.4,26.8,9.2,596.0,25.1,18.6,38.3,9.82292015,34.4,20.3,39.6,33.300000000000004,16.419637849999997,18.3,42.43792325,43.800931315,0.0001572228,0.000406085,4.5518775825,7.5,6.1730940488
26647,43.6,21.9,20.3,28.7,9.7,23.9,3.9,47608.0,12.1,16.8,24.3,6.8,696.0,25.7,18.3,40.2,8.55295873,27.0,18.0,38.2,30.2,16.632363559999998,20.599999999999998,48.30424761,28.828828829,0.0003705351,0.0002996142,4.3964702736,8.9,6.8754379536
7706,41.1,22.0,23.7,27.6,10.6,28.2,4.5,32796.0,13.9,32.8,26.5,13.2,682.0,20.4,19.0,48.9,16.875,46.800000000000004,23.9,51.0,39.900000000000006,11.6043825,21.099999999999998,35.31331593,52.825552826,0.0001362212,0.0003932363,5.2469433962,8.5,6.8579781145
14742,40.5,23.4,19.7,54.5,10.8,25.0,7.6,35851.0,7.0,27.6,22.5,11.5,668.0,21.2,18.4,43.9,12.149532709999999,32.2,18.6,44.4,32.0,13.461060450000002,19.1,51.167602720000005,32.427120865,0.0004701773,0.0002033347,6.0155182323,8.7,6.3393103025
17282,44.6,20.4,22.9,47.7,14.0,20.6,5.3,58395.0,9.6,26.6,18.4,7.6,678.0,23.0,17.0,41.0,11.88694929,22.7,21.5,38.3,32.800000000000004,16.65613383,16.6,44.725632669999996,27.506654836,0.0007262976,0.0003436623,5.8215134206,9.0,6.1903098496
107040,40.4,22.9,18.2,45.2,14.3,16.8,5.0,55064.0,11.7,15.8,34.5,6.2,858.0,24.9,18.2,39.0,10.98064797,24.6,18.8,37.5,29.5,15.36726188,17.4,57.67757147,32.233098111,0.0019177223,0.0008189246,5.1652568239,9.3,6.121567757
52618,43.0,20.6,20.6,36.1,10.2,21.7,6.0,46748.0,11.0,16.3,23.9,4.6,702.0,26.7,18.5,41.0,8.843710289999999,19.2,20.7,38.6,31.1,17.41202617,20.0,50.45908832,27.362701339,0.0005610938,0.0005116253,4.6348426085,7.9,6.4130811018
672265,37.9,22.7,16.3,32.7,21.2,14.9,5.4,63595.0,9.0,13.8,35.9,6.9,1086.0,22.7,16.8,37.6,11.47629876,21.5,15.0,39.7,26.5,16.022838710000002,15.2,69.14318106,20.455731196,0.0027078195,0.0011110778,5.4671421294,10.2,5.4820348912
94329,40.8,19.4,20.1,31.1,16.1,15.3,3.6,56081.0,9.5,14.5,32.5,6.1,773.0,24.2,17.5,39.6,9.08808933,16.8,16.3,36.5,25.5,17.29068913,16.400000000000002,58.38279609,16.023816821,0.0019625261,0.0005423051,4.7957901743,7.3,6.0028806517
33116,42.7,21.7,18.6,31.3,10.1,21.4,3.0,54786.0,9.1,16.0,20.6,5.1,692.0,24.9,18.3,39.0,8.94988067,19.2,20.5,40.699999999999996,30.099999999999998,17.72483828,18.0,52.29002709,31.716705158,0.0012238075,0.0001813237,4.3071152268,7.9,6.4154725921
175126,33.0,20.9,12.7,28.6,22.1,13.2,3.8,59288.0,8.6,13.7,34.8,4.8,953.0,23.6,17.6,36.8,9.84050557,14.899999999999999,15.9,35.199999999999996,26.5,17.813291680000003,15.5,76.32713787,12.739504734,0.001353601,0.0004965636,6.401174743,9.3,5.8040378023
104199,40.2,22.1,15.4,12.7,18.9,14.3,4.1,80146.0,8.2,9.5,22.3,3.1,861.0,23.7,16.4,39.4,8.66726411,11.3,15.5,35.8,24.4,17.24426356,14.799999999999999,66.37945656000001,19.748404403,0.000654142,0.0003441316,4.4251247691,7.8,5.5256578405
10153,41.7,22.0,19.4,83.2,10.5,22.4,7.5,33125.0,8.9,17.0,22.5,11.1,760.0,20.9,19.1,48.1,15.140845070000001,42.1,21.9,49.6,36.199999999999996,12.616038490000001,18.0,45.48259145,29.984218832,0.0001029124,0.0001003512,6.3511284722,8.7,6.2636695937
19198,37.8,16.6,20.2,91.4,10.7,18.4,12.5,41206.0,11.1,26.2,37.0,10.8,688.0,20.7,18.8,43.5,13.28320802,40.6,19.2,47.699999999999996,35.099999999999994,12.75262287,16.5,52.15698023,16.616072855,0.0047904192,0.0003175443,5.4340294257,8.9,6.3119901511
389781,38.5,21.5,15.4,27.8,26.8,13.5,4.2,78058.0,7.8,6.9,32.0,4.1,1043.0,21.6,15.5,37.5,10.208497249999999,13.5,13.8,35.699999999999996,21.7,17.817074350000002,13.900000000000002,77.13874641000001,15.673399306,0.0020019389,0.0008552394,4.9246695904,7.1,5.4941697582
19180,41.7,22.7,19.9,28.4,12.7,22.6,2.8,42975.0,9.3,25.0,31.7,8.6,702.0,22.3,17.8,42.8,12.222222219999999,33.1,19.900000000000002,46.1,32.7,14.567990859999998,17.7,54.02635432,26.089159068,0.0004281738,0.0004211413,6.6424484365,8.7,6.1254510791
29203,44.0,21.1,20.9,17.2,7.1,25.7,6.5,49743.0,11.0,22.1,27.1,5.0,581.0,25.7,18.2,37.6,10.707885300000001,24.3,18.8,39.5,29.799999999999997,17.298975210000002,20.0,58.68696187,35.5276907,0.0003077554,0.000239349,4.9441931385,7.8,6.2816112473
97923,38.8,25.2,17.2,35.7,14.5,14.1,3.8,58272.0,11.1,13.1,24.6,4.8,746.0,25.4,17.8,39.1,8.06277587,21.5,17.1,38.6,27.900000000000002,17.76697145,17.599999999999998,50.584102259999995,42.146810634,0.0028782405,0.0005497414,4.7301922082,8.7,6.0608387042
413878,38.2,23.2,16.7,48.7,15.7,13.8,5.9,55352.0,11.3,13.7,36.5,6.7,973.0,22.1,17.2,40.7,12.12318017,24.8,19.1,42.199999999999996,28.7,16.79938004,16.3,58.80152933,27.510135024,0.0013798465,0.0007117386,5.0727057531,8.0,5.9054366518
19816,43.7,21.1,21.0,79.1,7.8,16.4,12.2,39965.0,11.0,28.5,27.6,6.3,692.0,22.7,18.6,44.0,11.14023591,27.900000000000002,20.8,42.699999999999996,32.9,14.699517140000001,18.6,38.20224719,31.32977489,0.00119611,0.0004580619,5.6142645607,8.6,6.5175597287
228132,36.9,23.6,15.6,56.2,19.5,16.4,6.8,56707.0,10.6,14.9,42.8,6.9,1028.0,21.0,17.0,42.9,13.273550980000001,26.0,18.099999999999998,44.6,29.599999999999998,13.81942545,16.0,64.37651835,31.628918999,0.0022802027,0.0009673136,5.1317574962,7.9,5.7961044872
123102,40.6,22.9,17.9,31.4,15.9,16.7,4.2,61588.0,11.0,10.0,27.3,5.1,791.0,24.0,16.8,38.7,9.03098869,16.8,17.5,38.7,29.599999999999998,17.09724888,16.400000000000002,57.25092918,30.301843949,0.0017261634,0.0005094285,4.8227272727,8.1,6.2283239006
