year,stateabbr,locationname,locationid,measureid,data_value
2023,FL,Flagler,12035,DEPRESSION,18.3
2023,FL,Seminole,12117,DEPRESSION,16.4
2023,GA,Wheeler,13309,DEPRESSION,19.0
2023,IL,Douglas,17041,DEPRESSION,22.6
2023,IA,Fremont,19071,DEPRESSION,20.1
2023,NE,Webster,31181,DEPRESSION,17.6
2023,NV,Nye,32023,DEPRESSION,21.0
2023,NM,Los Alamos,35028,DEPRESSION,20.5
2023,NM,Quay,35037,DEPRESSION,22.3
2023,NC,Pamlico,37137,DEPRESSION,23.0
2023,NC,Pender,37141,DEPRESSION,24.8
2023,OH,Holmes,39075,DEPRESSION,29.3
2023,OK,Mayes,40097,DEPRESSION,25.1
2023,OR,Malheur,41045,DEPRESSION,24.8
2023,SC,Pickens,45077,DEPRESSION,25.4
2023,SD,Sully,46119,DEPRESSION,18.8
2023,TN,Fentress,47049,DEPRESSION,30.4
2023,TX,Colorado,48089,DEPRESSION,21.1
2023,TX,Palo Pinto,48363,DEPRESSION,24.0
2023,VA,Louisa,51109,DEPRESSION,23.0
2023,AR,St. Francis,05123,DEPRESSION,21.7
2022,AK,Petersburg,02195,SLEEP,32.5
2023,AR,Prairie,05117,MHLTH,18.0
2022,AR,Grant,05053,SLEEP,38.1
2022,AL,DeKalb,01049,SLEEP,40.3
2023,AL,Washington,01129,MHLTH,17.7
2022,AK,Kodiak Island,02150,SLEEP,38.5
2022,CA,El Dorado,06017,SLEEP,32.1
2023,AR,Ashley,05003,MHLTH,19.7
2023,AK,Copper River,02066,DEPRESSION,19.8
2023,AK,Wrangell,02275,MHLTH,14.8
2023,AK,North Slope,02185,MHLTH,16.6
2023,AL,Winston,01133,DEPRESSION,26.2
2023,CA,Imperial,06025,MHLTH,18.0
2023,AR,Searcy,05129,MHLTH,19.0
2022,AR,Jackson,05067,SLEEP,42.5
2023,AZ,Coconino,04005,DEPRESSION,22.5
2023,AL,Dallas,01047,DEPRESSION,20.3
2023,AR,Jefferson,05069,DEPRESSION,21.5
2022,AZ,Yuma,04027,SLEEP,34.0
2022,AR,Hempstead,05057,SLEEP,39.8
2023,AZ,Yuma,04027,MHLTH,15.3
2023,CA,Humboldt,06023,MHLTH,19.7
2023,AR,Lawrence,05075,DEPRESSION,27.3
2023,AL,Jackson,01071,MHLTH,18.5
2023,CA,Nevada,06057,DEPRESSION,23.0
2023,AK,Bristol Bay,02060,MHLTH,15.3
2023,AR,Washington,05143,DEPRESSION,24.6
2023,AL,Lawrence,01079,DEPRESSION,24.9
2023,CA,Mendocino,06045,DEPRESSION,23.0
2023,AR,Drew,05043,MHLTH,19.8
2023,AL,Greene,01063,DEPRESSION,20.4
2022,AL,Marshall,01095,SLEEP,39.1
2022,AR,Pope,05115,SLEEP,36.5
2023,CA,Merced,06047,MHLTH,19.0
2023,AK,Lake and Peninsula,02164,DEPRESSION,20.0
2023,AL,Fayette,01057,MHLTH,18.2
2023,AR,Nevada,05099,MHLTH,19.6
2023,AR,Cleburne,05023,DEPRESSION,24.8
2023,AK,Aleutians West,02016,DEPRESSION,13.3
2023,AR,Pope,05115,MHLTH,19.3
2023,CA,San Benito,06069,MHLTH,16.6
2022,AR,Garland,05051,SLEEP,36.3
2023,AR,Marion,05089,DEPRESSION,24.8
2023,AZ,Maricopa,04013,DEPRESSION,18.6
2023,AL,Coffee,01031,DEPRESSION,24.3
2023,AL,Montgomery,01101,DEPRESSION,21.0
2023,AL,Morgan,01103,MHLTH,16.8
2023,AR,Fulton,05049,MHLTH,19.0
2022,AL,Hale,01065,SLEEP,43.9
2022,AL,Blount,01009,SLEEP,36.5
2023,AR,Franklin,05047,MHLTH,19.8
2023,AL,Cleburne,01029,MHLTH,18.1
2023,AZ,Cochise,04003,MHLTH,15.2
2023,CA,Orange,06059,DEPRESSION,19.0
2022,AL,Walker,01127,SLEEP,42.6
2023,AL,Calhoun,01015,DEPRESSION,24.6
2022,AR,Carroll,05015,SLEEP,35.8
2022,AL,Shelby,01117,SLEEP,34.2
2023,AK,Bethel,02050,MHLTH,21.6
2023,AR,Greene,05055,MHLTH,20.0
2023,CA,Sacramento,06067,DEPRESSION,22.5
2022,AR,Yell,05149,SLEEP,38.8
2022,AK,Lake and Peninsula,02164,SLEEP,40.3
2022,AZ,Maricopa,04013,SLEEP,34.4
2023,CA,Glenn,06021,DEPRESSION,22.6
2023,CA,Mono,06051,MHLTH,16.9
2023,AL,Monroe,01099,DEPRESSION,22.7
2023,AR,Hempstead,05057,MHLTH,18.9
2022,AR,Johnson,05071,SLEEP,40.9
2022,AK,Southeast Fairbanks,02240,SLEEP,35.7
2022,AL,Wilcox,01131,SLEEP,45.4
2023,AK,Sitka,02220,DEPRESSION,19.1
2023,AL,Marion,01093,MHLTH,18.2
2023,AR,Stone,05137,DEPRESSION,25.3
2023,AK,Yukon-Koyukuk,02290,DEPRESSION,19.8
2022,CA,Los Angeles,06037,SLEEP,35.5
2022,AR,Stone,05137,SLEEP,39.7
2022,AK,Kenai Peninsula,02122,SLEEP,29.4
2023,AL,Covington,01039,MHLTH,18.0
2022,AR,Boone,05009,SLEEP,37.6
2023,AL,Autauga,01001,DEPRESSION,25.1
2023,AK,Hoonah-Angoon,02105,DEPRESSION,18.5
2023,AR,Pulaski,05119,MHLTH,17.5
2023,AL,Walker,01127,DEPRESSION,26.6
2022,CA,Marin,06041,SLEEP,28.6
2022,AL,Cullman,01043,SLEEP,36.7
2023,AR,Baxter,05005,DEPRESSION,25.7
2022,AL,Dallas,01047,SLEEP,46.0
2023,AL,Blount,01009,MHLTH,17.5
2023,AR,White,05145,DEPRESSION,26.3
2023,AR,Boone,05009,MHLTH,18.4
2023,AZ,Navajo,04017,DEPRESSION,22.2
2023,CA,Los Angeles,06037,MHLTH,16.2
2023,CA,Kings,06031,MHLTH,19.5
2023,AR,Garland,05051,MHLTH,17.4
2022,AR,Howard,05061,SLEEP,40.4
2022,AL,Geneva,01061,SLEEP,40.2
2023,AR,Columbia,05027,DEPRESSION,23.7
2023,CA,Glenn,06021,MHLTH,18.4
2023,AR,Polk,05113,MHLTH,18.8
2023,AL,Perry,01105,DEPRESSION,22.1
2023,AL,Sumter,01119,DEPRESSION,21.5
2023,AL,Lowndes,01085,DEPRESSION,20.9
2022,AR,Logan,05083,SLEEP,39.0
2022,AL,Autauga,01001,SLEEP,37.3
2022,AL,Talladega,01121,SLEEP,43.5
2023,AZ,Graham,04009,MHLTH,17.5
2022,AL,Russell,01113,SLEEP,42.8
2022,AZ,Navajo,04017,SLEEP,36.3
2023,AL,Pike,01109,MHLTH,19.5
2023,AL,Lauderdale,01077,MHLTH,17.5
2022,AR,St. Francis,05123,SLEEP,46.3
2023,AL,Tallapoosa,01123,MHLTH,16.9
2022,CA,Mendocino,06045,SLEEP,33.6
2023,AL,Clarke,01025,MHLTH,18.0
2022,AK,Nome,02180,SLEEP,44.3
2022,AK,North Slope,02185,SLEEP,39.7
2023,AK,Skagway,02230,MHLTH,14.5
2022,CA,Orange,06059,SLEEP,35.4
2023,AR,Calhoun,05013,MHLTH,17.7
2023,AR,Jackson,05067,MHLTH,21.0
2023,AR,Sebastian,05131,DEPRESSION,24.9
2023,AZ,Graham,04009,DEPRESSION,20.3
2023,CA,Colusa,06011,MHLTH,18.1
2023,AR,Washington,05143,MHLTH,18.8
2022,AL,Monroe,01099,SLEEP,44.0
2023,AK,Kodiak Island,02150,DEPRESSION,17.2
2022,AR,Clark,05019,SLEEP,41.1
2023,AR,Howard,05061,MHLTH,18.9
2023,AZ,Santa Cruz,04023,MHLTH,14.7
2023,AR,Mississippi,05093,DEPRESSION,24.8
2023,CA,Riverside,06065,DEPRESSION,21.7
2023,AK,Haines,02100,MHLTH,13.3
2023,CA,Alpine,06003,DEPRESSION,21.7
2022,AL,Tallapoosa,01123,SLEEP,40.8
2023,AL,Choctaw,01023,MHLTH,17.8
2023,AL,Geneva,01061,MHLTH,18.3
2023,AR,Johnson,05071,DEPRESSION,25.4
2022,AR,Searcy,05129,SLEEP,40.2
2022,AR,Lonoke,05085,SLEEP,38.4
2023,CA,El Dorado,06017,DEPRESSION,22.3
2023,AR,Desha,05041,DEPRESSION,23.2
2023,AR,Lonoke,05085,DEPRESSION,25.8
2023,AL,Escambia,01053,DEPRESSION,24.0
2023,AK,Dillingham,02070,DEPRESSION,20.1
2023,AR,Miller,05091,DEPRESSION,24.6
2022,CA,Kings,06031,SLEEP,36.2
2023,CA,Placer,06061,DEPRESSION,21.3
2023,AR,Crawford,05033,DEPRESSION,26.1
2023,AR,Pike,05109,MHLTH,18.6
2023,AK,Kodiak Island,02150,MHLTH,14.5
2023,AR,Monroe,05095,MHLTH,18.9
2023,AL,Henry,01067,DEPRESSION,23.0
2023,CA,Orange,06059,MHLTH,16.0
2023,AL,Marshall,01095,DEPRESSION,25.4
2022,AL,Fayette,01057,SLEEP,39.0
2022,AR,Baxter,05005,SLEEP,35.2
2022,AL,Barbour,01005,SLEEP,43.0
2023,AK,Lake and Peninsula,02164,MHLTH,18.4
2023,AK,Petersburg,02195,DEPRESSION,18.2
2023,AR,Saline,05125,MHLTH,17.1
2023,AL,St. Clair,01115,MHLTH,17.4
2023,AR,Izard,05065,MHLTH,18.8
2022,AR,Phillips,05107,SLEEP,48.4
2023,US,,59,MHLTH,15.6
2023,AL,Bibb,01007,MHLTH,18.9
2023,AL,Jackson,01071,DEPRESSION,26.7
2023,AL,Barbour,01005,DEPRESSION,22.1
2023,AR,Benton,05007,MHLTH,16.5
2023,AK,Southeast Fairbanks,02240,DEPRESSION,19.3
2023,AR,Independence,05063,DEPRESSION,26.1
2022,AR,Van Buren,05141,SLEEP,39.4
2022,AR,Fulton,05049,SLEEP,39.1
2023,AR,Logan,05083,DEPRESSION,25.8
2023,AR,Jefferson,05069,MHLTH,19.0
2023,AL,Tuscaloosa,01125,DEPRESSION,25.0
2022,AR,Izard,05065,SLEEP,35.4
2023,AL,Conecuh,01035,DEPRESSION,22.3
2023,AL,Baldwin,01003,MHLTH,15.1
2022,AL,Escambia,01053,SLEEP,45.0
2023,AL,Talladega,01121,DEPRESSION,22.7
2023,CA,Mariposa,06043,MHLTH,16.2
2022,AL,Perry,01105,SLEEP,45.1
2023,AL,Macon,01087,DEPRESSION,20.7
2023,AR,Little River,05081,MHLTH,18.7
2022,AR,Lincoln,05079,SLEEP,42.6
2022,AZ,Pima,04019,SLEEP,37.0
2023,AR,Lee,05077,DEPRESSION,21.3
2023,AR,Perry,05105,MHLTH,18.3
2023,AL,Dale,01045,MHLTH,18.5
2023,AL,Chilton,01021,DEPRESSION,24.5
2022,AL,St. Clair,01115,SLEEP,35.1
2023,AK,Anchorage,02020,DEPRESSION,21.3
2023,AZ,Apache,04001,DEPRESSION,20.4
2022,AL,Chilton,01021,SLEEP,33.6
2023,AL,Coosa,01037,MHLTH,16.9
2023,CA,Lassen,06035,MHLTH,19.2
2023,AR,Madison,05087,DEPRESSION,25.6
2023,AR,Miller,05091,MHLTH,20.1
2023,AR,Fulton,05049,DEPRESSION,26.2
2022,AK,Aleutians East,02013,SLEEP,42.8
2023,AR,Lincoln,05079,DEPRESSION,22.0
2022,AL,Bibb,01007,SLEEP,40.6
2023,AK,Nome,02180,DEPRESSION,20.7
2023,AK,Yakutat,02282,DEPRESSION,18.0
2022,AL,Marengo,01091,SLEEP,42.8
2023,AZ,Yavapai,04025,DEPRESSION,19.3
2023,AK,Aleutians East,02013,DEPRESSION,12.3
2023,CA,Inyo,06027,MHLTH,16.3
2022,AK,Fairbanks North Star,02090,SLEEP,37.0
2022,AR,Independence,05063,SLEEP,39.5
2023,AK,Ketchikan Gateway,02130,MHLTH,15.0
2022,CA,Imperial,06025,SLEEP,41.0
2022,AL,Choctaw,01023,SLEEP,41.5
2023,AL,Mobile,01097,MHLTH,17.2
2023,AL,Montgomery,01101,MHLTH,17.0
2023,AZ,Mohave,04015,MHLTH,15.1
2023,AL,Hale,01065,DEPRESSION,21.2
2022,AR,Bradley,05011,SLEEP,42.6
2023,AR,Montgomery,05097,DEPRESSION,25.2
2023,AZ,Pima,04019,MHLTH,16.3
2023,AZ,Greenlee,04011,DEPRESSION,19.2
2023,CA,San Bernardino,06071,DEPRESSION,19.6
2023,AR,Clark,05019,DEPRESSION,26.0
2022,AK,Sitka,02220,SLEEP,31.1
