NAME,DP05_0001E,DP05_0018E,DP05_0019PE,DP05_0024PE,DP02_0038PE,DP02_0065PE,DP02_0072PE,DP03_0009PE,DP03_0062E,DP03_0099PE,DP04_0003PE,DP04_0047PE,DP04_0058PE,DP04_0134E,state,county
"Autauga County, Alabama",58761,39.0,23.4,15.6,20.6,16.7,16.4,2.8,68315,7.4,8.8,24.5,4.0,1199,01,001
"Baldwin County, Alabama",233420,43.7,21.2,21.2,15.8,20.0,13.9,3.4,71039,9.3,27.4,22.1,2.3,1160,01,003
"Barbour County, Alabama",24877,40.6,20.7,19.8,58.1,6.6,18.1,5.8,39712,10.7,22.8,35.0,11.7,627,01,005
"Bibb County, Alabama",22251,40.3,21.2,16.8,74.9,6.6,19.6,8.7,50669,8.4,20.2,24.3,7.5,765,01,007
"Blount County, Alabama",59077,40.8,23.0,18.3,31.6,9.4,17.0,6.0,57440,10.2,12.4,20.7,4.8,734,01,009
"Bullock County, Alabama",10328,39.2,21.1,16.6,49.4,6.9,11.2,3.7,36136,12.2,24.0,35.3,10.4,619,01,011
"Butler County, Alabama",18981,41.6,22.3,21.2,33.1,7.8,16.2,6.8,44429,11.0,27.5,29.2,5.0,720,01,013
"Calhoun County, Alabama",116162,39.2,21.2,17.9,59.2,11.5,20.2,6.9,54339,10.8,15.9,29.1,5.6,806,01,015
"Chambers County, Alabama",34612,42.2,20.8,19.7,61.9,9.2,20.8,3.6,48805,10.8,20.0,27.8,7.0,842,01,017
"Cherokee County, Alabama",25069,46.8,18.9,23.2,14.7,8.3,20.3,4.0,46621,10.2,31.9,20.3,3.2,700,01,019
"Chilton County, Alabama",45140,39.9,23.7,16.8,31.0,8.2,19.4,5.3,62471,11.5,13.4,25.0,3.3,814,01,021
"Choctaw County, Alabama",12669,46.7,19.9,23.3,50.0,9.6,23.6,5.2,43299,8.2,26.8,18.0,5.7,616,01,023
"Clarke County, Alabama",23058,42.7,22.0,20.4,70.4,8.4,19.6,12.5,47549,9.5,30.2,27.7,10.6,723,01,025
"Clay County, Alabama",14209,43.9,20.5,20.8,26.7,9.2,19.6,5.7,48074,8.1,22.1,21.7,6.4,576,01,027
"Cleburne County, Alabama",15144,42.2,22.8,19.6,67.0,11.0,21.4,2.6,51553,10.1,15.5,22.0,6.8,782,01,029
"Coffee County, Alabama",53559,39.2,23.7,17.1,36.2,13.1,18.3,4.8,62199,10.9,15.7,30.5,4.0,921,01,031
"Colbert County, Alabama",57270,42.0,20.9,20.0,33.6,11.2,17.3,3.4,56149,7.9,16.0,29.0,4.7,810,01,033
"Conecuh County, Alabama",11576,46.2,20.5,23.4,60.7,7.7,20.9,4.4,39888,8.6,31.0,25.3,7.0,718,01,035
"Coosa County, Alabama",10329,50.2,16.1,24.4,14.7,7.2,25.6,4.4,52279,6.2,33.8,18.8,3.8,632,01,037
"Covington County, Alabama",37542,42.9,21.9,21.7,43.0,9.8,20.8,5.5,48772,10.3,23.9,25.0,6.4,701,01,039
"Crenshaw County, Alabama",13205,42.3,22.9,19.8,49.2,11.9,16.9,6.1,48557,8.5,26.2,25.4,7.3,595,01,041
"Cullman County, Alabama",88284,41.4,22.3,18.8,26.8,12.1,18.2,4.3,58119,10.6,14.1,23.8,2.9,848,01,043
"Dale County, Alabama",49455,37.7,23.1,17.5,32.0,12.9,20.8,7.8,52813,10.0,15.0,39.9,5.2,829,01,045
"Dallas County, Alabama",38326,40.4,23.6,19.4,48.4,10.1,19.8,9.1,37180,9.5,22.3,38.6,14.6,726,01,047
"DeKalb County, Alabama",71680,39.6,23.9,17.3,43.1,8.3,15.4,3.9,47920,14.6,16.4,26.1,4.2,684,01,049
"Elmore County, Alabama",87694,38.9,21.7,15.8,46.4,15.8,15.2,4.2,73258,8.2,12.5,22.9,4.3,982,01,051
"Escambia County, Alabama",36755,40.5,22.7,18.6,33.6,8.5,20.3,9.2,41153,12.3,22.1,32.9,6.1,659,01,053
"Etowah County, Alabama",103348,41.9,21.4,19.4,52.2,10.8,17.4,6.0,52177,11.7,18.2,26.6,4.2,779,01,055
"Fayette County, Alabama",16297,43.7,21.1,21.2,9.0,8.3,23.5,9.6,45650,10.1,21.4,24.2,10.7,600,01,057
"Franklin County, Alabama",32011,39.3,24.7,17.1,46.0,10.3,17.0,3.8,47359,12.5,19.4,26.8,9.2,596,01,059
"Geneva County, Alabama",26647,43.6,21.9,20.3,28.7,9.7,23.9,3.9,47608,12.1,16.8,24.3,6.8,696,01,061
"Greene County, Alabama",7706,41.1,22.0,23.7,27.6,10.6,28.2,4.5,32796,13.9,32.8,26.5,13.2,682,01,063
"Hale County, Alabama",14742,40.5,23.4,19.7,54.5,10.8,25.0,7.6,35851,7.0,27.6,22.5,11.5,668,01,065
"Henry County, Alabama",17282,44.6,20.4,22.9,47.7,14.0,20.6,5.3,58395,9.6,26.6,18.4,7.6,678,01,067
"Houston County, Alabama",107040,40.4,22.9,18.2,45.2,14.3,16.8,5.0,55064,11.7,15.8,34.5,6.2,858,01,069
"Jackson County, Alabama",52618,43.0,20.6,20.6,36.1,10.2,21.7,6.0,46748,11.0,16.3,23.9,4.6,702,01,071
"Jefferson County, Alabama",672265,37.9,22.7,16.3,32.7,21.2,14.9,5.4,63595,9.0,13.8,35.9,6.9,1086,01,073
"Lamar County, Alabama",13885,44.2,21.8,22.1,60.0,6.1,22.4,5.0,49565,7.8,27.3,25.3,5.7,495,01,075
"Lauderdale County, Alabama",94329,40.8,19.4,20.1,31.1,16.1,15.3,3.6,56081,9.5,14.5,32.5,6.1,773,01,077
"Lawrence County, Alabama",33116,42.7,21.7,18.6,31.3,10.1,21.4,3.0,54786,9.1,16.0,20.6,5.1,692,01,079
"Lee County, Alabama",175126,33.0,20.9,12.7,28.6,22.1,13.2,3.8,59288,8.6,13.7,34.8,4.8,953,01,081
"Limestone County, Alabama",104199,40.2,22.1,15.4,12.7,18.9,14.3,4.1,80146,8.2,9.5,22.3,3.1,861,01,083
"Lowndes County, Alabama",10153,41.7,22.0,19.4,83.2,10.5,22.4,7.5,33125,8.9,17.0,22.5,11.1,760,01,085
"Macon County, Alabama",19198,37.8,16.6,20.2,91.4,10.7,18.4,12.5,41206,11.1,26.2,37.0,10.8,688,01,087
"Madison County, Alabama",389781,38.5,21.5,15.4,27.8,26.8,13.5,4.2,78058,7.8,6.9,32.0,4.1,1043,01,089
"Marengo County, Alabama",19180,41.7,22.7,19.9,28.4,12.7,22.6,2.8,42975,9.3,25.0,31.7,8.6,702,01,091
"Marion County, Alabama",29203,44.0,21.1,20.9,17.2,7.1,25.7,6.5,49743,11.0,22.1,27.1,5.0,581,01,093
"Marshall County, Alabama",97923,38.8,25.2,17.2,35.7,14.5,14.1,3.8,58272,11.1,13.1,24.6,4.8,746,01,095
"Mobile County, Alabama",413878,38.2,23.2,16.7,48.7,15.7,13.8,5.9,55352,11.3,13.7,36.5,6.7,973,01,097
"Monroe County, Alabama",19816,43.7,21.1,21.0,79.1,7.8,16.4,12.2,39965,11.0,28.5,27.6,6.3,692,01,099
"Montgomery County, Alabama",228132,36.9,23.6,15.6,56.2,19.5,16.4,6.8,56707,10.6,14.9,42.8,6.9,1028,01,101
"Morgan County, Alabama",123102,40.6,22.9,17.9,31.4,15.9,16.7,4.2,61588,11.0,10.0,27.3,5.1,791,01,103
"Perry County, Alabama",8479,41.8,21.1,20.5,0.0,10.1,25.2,15.7,32332,6.6,22.8,29.9,10.4,560,01,105
"Pickens County, Alabama",18925,42.9,19.3,19.4,64.7,9.0,24.1,5.3,45339,8.5,18.7,25.8,7.8,578,01,107
"Pike County, Alabama",32997,31.1,18.9,15.3,55.5,15.7,15.1,4.9,42616,8.9,25.3,37.0,6.7,750,01,109
"Randolph County, Alabama",22179,44.1,20.9,20.9,42.6,12.1,19.0,3.2,49879,8.4,29.7,20.8,5.3,704,01,111
"Russell County, Alabama",58849,37.2,24.1,14.9,52.2,10.3,21.0,6.5,47420,11.7,14.3,38.8,8.8,908,01,113
"St. Clair County, Alabama",91719,41.0,22.3,17.4,36.5,13.3,16.3,4.3,73218,8.2,11.3,18.3,3.3,1044,01,115
"Shelby County, Alabama",223916,40.0,22.8,16.2,19.2,29.8,12.0,3.1,90618,6.4,6.5,19.1,2.6,1272,01,117
"Sumter County, Alabama",12196,35.8,18.9,18.6,50.8,12.3,20.3,8.2,31726,9.7,24.2,30.7,7.7,770,01,119
